Train.Red Export for,Session at 2025-05-06 2:15 p.m.,,,,,,,,,,
-------------------------------------------------------------,,,,,,,,,,,
Sensor 1,Train.Red FYER,,,,,,,,,,
-------------------------------------------------------------,,,,,,,,,,,
Sensor DataType,expertV13,,,,,,,,,,
Sensor ID,Train.Red FYER 0673,,,,,,,,,,
Mac Address,,,,,,,,,,,
Firmware Version,,,,,,,,,,,
Sensor Position,legRightUpperFront,,,,,,,,,,
2117.91,1,,68.12,37.34,1,0,,68.8,38.05,2,-1
2117.91,1,,68.12,37.34,1,0,,69.69,37.98,2,-1
2118.11,1,,66.98,37.04,1,0,,70.87,38.06,2,-1
2118.11,1,,66.98,37.04,1,0,,71.24,37.98,2,-1
2118.2,1,,68.25,36.84,1,0,,70.65,38.07,2,-1
2118.29,1,,68.77,37.27,1,0,,70.01,38.07,2,-1
2118.38,1,,68.77,37.27,1,0,,69.4,37.8,2,-1
2118.66,1,,67.77,37.27,1,0,,70.34,38.09,2,-1
2118.66,1,,67.77,37.27,1,0,,70.78,38.05,1,0
2118.68,1,,67.77,37.27,1,0,,73.01,38.65,1,0
2118.89,1,,68.43,37.42,1,0,,68.97,38.5,1,0
2118.89,1,,68.43,37.42,1,0,,71.24,38.31,1,0
2119.01,1,,68.04,37.41,1,0,,71.2,38.18,1,0
2119.14,1,,68.04,37.41,1,0,,70.43,38.23,1,0
2119.19,1,,67.26,37.46,1,0,,70,38.21,1,0
2119.31,1,,67.07,37.6,1,0,,71.48,38.25,1,0
2119.37,1,,67.07,37.6,1,0,,71.54,37.99,1,0
2120.27,1,,68.72,37.44,1,0,,69.43,38.34,1,0
2120.27,1,,68.72,37.44,1,0,,70.06,38.33,1,0
2120.3,1,,68.13,37.49,1,0,,69.82,38.25,1,0
